facility_id,state,condition_name,measure_name,risk_tier,penalty_flag,readmission_rate,penalty_cost,risk_score,improvement_rate,excess_readmission_ratio,hospital_rank_in_state,recommended_action,priority_level
10011,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,103.58,3728.02,53.1,3.73,1.0373,14,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10011,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,111.93,12123.55,60.1,12.13,1.1213,5,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10011,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,96.80,0.00,47.5,-3.03,0.9697,26,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10012,AL,COPD,READM-30-COPD-HRRP,LOW,f,99.23,0.00,49.5,-0.66,0.9934,21,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10012,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,101.91,2058.90,51.7,2.06,1.0206,22,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10012,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,105.46,5647.00,54.7,5.65,1.0565,9,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10012,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,108.24,8395.53,57.0,8.40,1.084,4,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10012,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,92.85,0.00,44.4,-6.78,0.9322,23,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10016,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,100.39,529.72,50.4,0.53,1.0053,31,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10016,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,102.52,2698.56,52.3,2.70,1.027,14,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10016,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,109.60,10034.66,58.4,10.04,1.1004,10,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10016,AL,COPD,READM-30-COPD-HRRP,LOW,f,98.77,0.00,49.1,-1.12,0.9888,25,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10016,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,108.56,8745.35,57.3,8.75,1.0875,6,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10016,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,102.77,2918.45,52.4,2.92,1.0292,19,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10019,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.46,609.68,50.5,0.61,1.0061,29,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10019,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,103.15,3268.26,52.7,3.27,1.0327,9,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10019,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,90.44,0.00,42.1,-9.43,0.9057,53,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10019,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,121.20,21668.47,68.1,21.68,1.2168,6,URGENT: Strengthen post-surgical care coordination. Add physical therapy follow-up within 5 days.,1
10021,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.05,199.89,50.2,0.20,1.002,31,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10022,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,97.24,0.00,47.8,-2.62,0.9738,44,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10023,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,100.66,839.55,50.7,0.84,1.0084,19,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10023,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,108.32,8505.48,57.1,8.51,1.0851,7,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10023,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,104.24,4357.68,53.6,4.36,1.0436,8,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10023,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,104.74,4897.40,54.1,4.90,1.049,12,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10023,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,105.74,5886.87,54.9,5.88,1.0589,9,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10023,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,95.08,0.00,46.2,-4.54,0.9546,21,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10024,AL,CABG,READM-30-CABG-HRRP,LOW,f,93.69,0.00,44.9,-6.14,0.9386,17,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10024,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,101.92,2068.90,51.7,2.07,1.0207,22,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10024,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,101.85,2028.92,51.7,2.03,1.0203,15,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10024,AL,COPD,READM-30-COPD-HRRP,LOW,f,95.72,0.00,46.5,-4.17,0.9583,39,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10024,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.51,659.65,50.6,0.66,1.0066,28,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10029,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,97.07,0.00,47.9,-2.54,0.9746,19,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10029,AL,CABG,READM-30-CABG-HRRP,LOW,f,96.87,0.00,47.5,-2.96,0.9704,15,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10029,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,105.03,5207.23,54.3,5.21,1.0521,10,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10029,AL,COPD,READM-30-COPD-HRRP,LOW,f,92.29,0.00,43.7,-7.61,0.9239,46,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10029,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,102.58,2728.55,52.3,2.73,1.0273,17,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10029,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,88.62,0.00,40.6,-11.25,0.8875,62,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10033,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,98.47,0.00,48.8,-1.39,0.9861,39,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10033,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,137.41,37939.82,81.6,37.96,1.3796,2,URGENT: Strengthen post-surgical care coordination. Add physical therapy follow-up within 5 days.,1
10033,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,118.80,18999.89,65.8,19.01,1.1901,1,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10033,AL,CABG,READM-30-CABG-HRRP,HIGH,t,128.40,28614.78,73.9,28.63,1.2863,1,URGENT: Implement cardiac rehab referral at discharge. Schedule cardiology follow-up within 7 days.,1
10033,AL,COPD,READM-30-COPD-HRRP,LOW,f,96.78,0.00,47.4,-3.11,0.9689,33,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10033,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,109.67,9824.77,58.2,9.83,1.0983,5,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10035,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,107.13,7246.15,56.0,7.25,1.0725,3,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10035,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,99.07,0.00,49.4,-0.78,0.9922,36,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10035,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,104.70,4877.41,54.1,4.88,1.0488,12,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10035,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,96.45,0.00,47.2,-3.41,0.9659,46,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10035,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,88.78,0.00,40.9,-10.87,0.8913,26,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10036,AL,COPD,READM-30-COPD-HRRP,LOW,f,96.36,0.00,47.1,-3.53,0.9647,37,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10036,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,104.11,4257.74,53.6,4.26,1.0426,11,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10036,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,115.01,15461.78,62.9,15.47,1.1547,7,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10036,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,94.48,0.00,45.5,-5.38,0.9462,53,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10039,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,99.56,0.00,49.8,-0.31,0.997,34,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10039,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,92.10,0.00,43.5,-7.76,0.9224,59,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10039,AL,COPD,READM-30-COPD-HRRP,LOW,f,96.78,0.00,47.4,-3.11,0.9689,33,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10039,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,89.49,0.00,41.4,-10.35,0.8965,30,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10039,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,103.95,4357.68,53.6,4.36,1.0436,13,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10039,AL,CABG,READM-30-CABG-HRRP,LOW,f,86.22,0.00,38.6,-13.63,0.8637,19,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10040,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,111.02,11453.91,59.6,11.46,1.1146,8,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10040,AL,COPD,READM-30-COPD-HRRP,LOW,f,99.56,0.00,49.7,-0.33,0.9967,19,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10040,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,117.07,17270.81,64.4,17.28,1.1728,2,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10040,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,95.49,0.00,46.4,-4.37,0.9563,47,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10040,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,97.55,0.00,48.1,-2.28,0.9772,22,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10040,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,101.44,1589.15,51.3,1.59,1.0159,24,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10044,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.13,279.85,50.2,0.27,1.0028,30,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10044,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,94.36,0.00,45.4,-5.50,0.945,50,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10045,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,99.58,0.00,49.8,-0.27,0.9973,34,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10045,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,101.06,1169.38,51.0,1.17,1.0117,16,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10045,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,99.95,89.95,50.1,0.09,1.0009,33,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10046,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,106.16,6276.66,55.2,6.28,1.0628,6,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10046,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,111.64,11803.72,59.8,11.81,1.1181,3,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10046,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,101.13,1309.30,51.1,1.31,1.0131,16,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10046,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,103.03,3438.17,52.9,3.44,1.0344,14,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10046,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,110.44,10594.36,58.8,10.60,1.106,1,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10049,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,101.85,1968.95,51.6,1.97,1.0197,13,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10049,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,99.84,0.00,50.0,-0.01,0.9999,33,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10049,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,95.02,0.00,46.0,-4.84,0.9516,48,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10049,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,81.54,0.00,34.9,-18.14,0.8186,31,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10052,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,101.54,1689.10,51.4,1.69,1.0169,23,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10055,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,96.46,0.00,47.2,-3.40,0.966,45,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10055,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,108.11,8295.59,56.9,8.30,1.083,8,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10055,AL,COPD,READM-30-COPD-HRRP,LOW,f,94.18,0.00,45.2,-5.71,0.9429,42,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10055,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,137.96,38489.53,82.1,38.51,1.3851,1,URGENT: Strengthen post-surgical care coordination. Add physical therapy follow-up within 5 days.,1
10055,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,112.46,12653.27,60.6,12.66,1.1266,4,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10055,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,103.60,3748.01,53.1,3.75,1.0375,14,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10056,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,98.23,0.00,48.6,-1.63,0.9837,41,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10056,AL,COPD,READM-30-COPD-HRRP,LOW,f,99.16,0.00,49.4,-0.73,0.9927,23,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10056,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,110.92,11353.96,59.5,11.36,1.1136,9,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10056,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,108.04,8225.62,56.9,8.23,1.0823,8,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10056,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,107.56,7715.90,56.4,7.72,1.0772,9,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10056,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,108.46,8645.40,57.2,8.65,1.0865,6,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10058,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,93.46,0.00,44.7,-6.40,0.936,56,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10059,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.46,609.68,50.5,0.61,1.0061,29,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10061,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,101.13,1239.34,51.0,1.24,1.0124,15,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10061,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,94.64,0.00,45.7,-5.22,0.9478,49,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10061,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,96.27,0.00,47.0,-3.59,0.9641,50,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10065,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,81.91,0.00,35.2,-17.76,0.8224,30,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10065,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,96.97,0.00,47.6,-2.89,0.9711,43,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10065,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,102.02,2138.86,51.8,2.14,1.0214,12,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10065,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,101.06,1239.34,51.0,1.24,1.0124,18,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10065,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,92.69,0.00,44.0,-7.17,0.9283,57,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10073,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,97.61,0.00,48.1,-2.24,0.9776,41,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10078,AL,AMI (Heart Attack),READM-30-AMI-HRRP,MEDIUM,t,115.74,15931.53,63.3,15.94,1.1594,2,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10078,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,133.16,33672.09,78.1,33.69,1.3369,3,URGENT: Strengthen post-surgical care coordination. Add physical therapy follow-up within 5 days.,1
10078,AL,COPD,READM-30-COPD-HRRP,LOW,f,96.26,0.00,47.0,-3.63,0.9637,38,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10078,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,99.15,0.00,49.4,-0.71,0.9929,36,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10078,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,97.49,0.00,48.0,-2.37,0.9763,42,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10079,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,101.43,1539.18,51.3,1.54,1.0154,14,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10079,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,105.35,5766.93,54.8,5.77,1.0577,11,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10079,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,108.30,8455.50,57.1,8.46,1.0846,7,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10079,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,96.92,0.00,47.6,-2.94,0.9706,44,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10083,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,97.23,0.00,47.8,-2.60,0.974,23,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10083,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.94,1089.42,50.9,1.09,1.0109,26,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10083,AL,COPD,READM-30-COPD-HRRP,LOW,f,95.11,0.00,46.0,-4.78,0.9522,40,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10083,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,HIGH,t,126.54,27025.62,72.5,27.04,1.2704,5,URGENT: Strengthen post-surgical care coordination. Add physical therapy follow-up within 5 days.,1
10083,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,101.93,2078.89,51.7,2.08,1.0208,21,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10085,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,97.22,0.00,47.8,-2.61,0.9739,24,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10085,AL,COPD,READM-30-COPD-HRRP,LOW,f,98.41,0.00,48.8,-1.48,0.9852,26,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
